Artist;Title;Year;Orchestra;Conductor;Genre;Format;Label;Catalog Number;Reissue;Mode;DBX
Rich, Buddy  And His Orchestra;Big Band Shout: Rich, Buddy  And His Orchestra Play Count Basie;1967;;;Jazz;LP;Verve Records;V6-8712;Y;S;
Rich, Buddy  Big Band;Big Swing Face;1967;;;Jazz;LP;Pacific Jazz;ST-20117;;S;
Swingle, Les Singers;Encounter: The Swingle Singers Perform With Modern Jazz Quartet, The;1967;;;Jazz;LP;Philips;PHM 200-225;;S;
Szabo, Gabor;The Sorcerer;1967;;;Jazz;LP;Impulse!;A-9146;;S;
Szabo, Gabor;More Sorcery;1967;;;Jazz;LP;Impulse!;A-9167;;S;
Szabo, Gabor;Jazz Raga;1967;;;Jazz;LP;Impulse!;A-9128;;S;
Berlioz, Hector;New Philharmonia Orchesrta;1968;New Philharmonia Orchesrta;;Symphonic;LP;Angel Records;CD-80078;;S;
Copland, Aaron;Billy the Kid/Rodeo/Fanfare For the Common Man;1968;Dallas Symphony Orchesrta;Johanos, Donald;Symphonic;LP;Turnabout;S-36505;;S;
Crusaders, The;Lighthouse '68;1968;;;Jazz;LP;Pacific Jazz;ST-20131;;S;
Herman, Woody And The Thundering Herd;Concerto For Herd;1968;;;Jazz;LP;Verve Records;SW-91633;;S;
Lewis, Ramsey;Maiden Voyage;1968;;;Jazz;LP;Cadet;LPS 811;;S;
Montgomery, Wes;Down Here On The Ground;1968;;;Jazz;LP;A&M Records;SP-3006;;S;
Montgomery, Wes;Road Song;1968;;;Jazz;LP;A&M Records;SP 3012;;S;
Montgomery, Wes;The Best Of Wes Montgomery Vol. 2;1968;;;Jazz;LP;Verve Records;V6-8757;;S;
Nelson, Sandy;Soul Drums;1968;;;Rock;LP;Imperial;LP-12362;;S;
Rich, Buddy;Rich À La Rakha;1968;;;Jazz;LP;World Pacific Records;WPS-21453;;S;
Rich, Buddy  Big Band;The New One!;1968;;;Jazz;LP;Pacific Jazz;ST-20126;;S;
Roach, Max;Deeds Not Words;1968;;;Jazz;LP;Riverside Records;RS-3018;Y;S;
Szabo, Gabor;Bacchanal;1968;;;Jazz;LP;Skye Records;SK-3;;S;
Blood, Sweat And Tears;Blood, Sweat And Tears;1969;;;Rock;LP;CBS;63504;;S;
Chicago;Chicago Transit Authority;1969;;;Rock;LP;Columbia;GP 8;;S;
Lettermen, The;The Best Of The Lettermen Vol.2;1969;;;Rock;LP;Capitol Records;SKAO-138;;S;
Masekela, Hugh;Masekela;1969;;;Jazz;LP;UNI Records;73041;;S;
Orff, Carl;Carmina Burana;1969;Orchester der Duetschen Oper Berlin;Jochum, Eugen;Symphonic;LP;Deutsche Grammophon;139 362 SLPM;;S;
Szabo, Gabor;1969;1969;;;Jazz;LP;Skye Records;SK-9;;S;
Blood, Sweat And Tears;Blood, Sweat & Tears 3;1970;;;Rock;LP;CBS;64024;;S;
Chicago;Chicago;1970;;;Rock;Cass;Columbia;16 BO 0858;;S;
Crusaders, The;Old Socks, New Shoes...New Socks, Old Shoes;1970;;;Jazz;LP;Chisa;CS 804;;S;
Crusaders, The;The Best Of The Jazz Crusaders;1970;;;Jazz;LP;World Pacific Jazz;ST-20175;;S;
Laws, Hubert;Afro-Classic;1970;;;Jazz;LP;CTI Records;CTI 6006;;S;
Lewis, Ramsey;Ramsey Lewis, The Piano Player;1970;;;Jazz;LP;Cadet;LPS 836;;S;
Modern Jazz Quartet, The;The Best Of;1970;;;Jazz;LP;Atlantic;SD 1546;;S;
Szabo, Gabor;Magical Connection;1970;;;Jazz;LP;Blue Thumb Records;BTS 8823;;S;
Taylor, James;Sweet Baby James;1970;;;Rock;LP;Warner Bros. Records;WS 1843;;S;
Tjader, Cal;Tjader-Ade;1970;;;Jazz;LP;Buddah Records;BDS-19-SK;;S;
Wheeler, Clarence & The Enforcers;Doin' What We Wanna;1970;;;Jazz;LP;Atlantic;SD 1551;Y;S;
Benson, George;Beyond The Blue Horizon;1971;;;Jazz;LP;CTI Records;CTI 6009;Y;S;
Chicago;Chicago III;1971;;;Rock;LP;Columbia;C2 30110;;S;
Coryell, Larry;Barefoot Boy;1971;;;Jazz;LP;Flying Dutchman;FD-10139;;S;
Herman, Woody;Brand New;1971;;;Jazz;LP;Fantasy;8414;;S;
Laws, Hubert;The Rite Of Spring;1971;;;Jazz;LP;CTI Records;CTI 6012;;S;
Benson, George;White Rabbit;1972;;;Jazz;LP;CTI Records;CTI 6015;;S;
Blood, Sweat And Tears;Blood, Sweat & Tears Greatest Hits;1972;;;Jazz;CD;Columbia;CK 31170;Y;S;
