Artist;Title;Year;Orchestra;Conductor;Genre;Format;Label;Catalog Number;Reissue;Mode;DBX
Scott, Tom;Streamlines;1987;;;Jazz;LP;GRP;GR-1044;;S;
Siegel, Dan;Northern Nights;1987;;;Jazz;CD;CBS Associated;ZK 44026;;S;
Strauss, Richard;Also Sprach Zarathustra / Don Juan / Tod Und Verklärung;1987;Wiener Philharmoniker;von Karajan, Herbert;Symphonic;CD;Decca;417 720-2;;S;
Swing Out Sister;It's Better To Travel;1987;;;Rock;LP;Mercury;832 213-1;;S;
Watanabe, Sadao;Birds Of Passage;1987;;;Jazz;LP;Elektra;9 60748-1;;S;
Yellowjackets;Four Corners;1987;;;Jazz;LP;MCA Records;MCA-5994;;S;
Balmer, Dan;Becoming Became;1988;;;Jazz;CD;Chase Music Group;CMD8013;;S;
Davis, Miles;In Person, Friday Night At The Blackhawk, San Francisco, Volume 1;1988;;;Jazz;CD;Columbia;CK 44257;Y;S;
Ellis, Herb;Rhythm Willie;1988;;;Jazz;CD;Concord Jazz;CCD-6010;;S;
Foster, David;The Symphony Sessions;1988;;;Rock;LP;Atlantic;81799-1;;S;
Grant, Tom;Mango Tango;1988;;;Jazz;CD;Gaia Records;13-9013-2;;S;
Grusin, Dave;Harlequin;1988;;;Jazz;CD;GRP;GRD-9522;;S;
Grusin, Dave;Sticks And Stones;1988;;;Jazz;LP;GRP;GR-1051;;S;
Harrison, Michael Allen;3rd Avenue;1988;;;Jazz;CD;HML Productions;HML 001;;S;
Hornsby, Bruce And The Range;Scenes From The Southside;1988;;;Rock;LP;RCA Victor;6686-1-R;;S;
James, Bob;Ivory Coast;1988;;;Jazz;CD;Warner Bros. Records;9 25757-2;;S;
Mays, Lyle;Street Dreams;1988;;;Jazz;CD;Geffen Records;924 204-2;;S;
McEntire, Reba;Reba;1988;;;Country;CD;MCA Records;MCAD-42134;;S;
New Kids On The Block;Hangin' Tough;1988;;;Rock;CD;Columbia;CK 40985;;S;
Pass, Joe;Jazz/Concord;1988;;;Jazz;CD;Concord Jazz;CCD-6001;Y;S;
Pass, Joe;Blues For Fred;1988;;;Jazz;CD;Pablo Records;PACD-2310-931-2;;S;
Pepper, Art;The Return Of Art Pepper;1988;;;Jazz;CD;Blue Note;CDP 7 46863 2;;S;
Rimsky-Korsakov, Nikolai;Scheherazade;1988;Royal Philharmonic Orchestra;Stokowski, Leopold;Symphonic;CD;RCA Victrola;7743-2-RV;Y;S;
Rimsky-Korsakov, Nikolai;Nikolai Rimsky-Korsakov Orchestral Works;1988;Mexico City Philharmonic Orchestra;Batix, Enrique;Symphonic;LP;Musical Heritage Society;MHS 912145M;;S;
Ritenour, Lee;Festival;1988;;;Jazz;Cass;GRP;GRC-9570;;S;
Story, Liz;Speechless;1988;;;Jazz;CD;Novus;3037-2-N;;S;
Tchaikovsky, Pyotr Ilyich;Symphonie No 6 in H-minor;1988;(see later);Munih, Marko;Symphonic;CD;Golden Master Series;GMS27009;;S;
Tchaikovsky, Pyotr Ilyich;Symphony No. 5 / Capriccio Italien;1988;Radio Symphony Orchestra Ljubljana;Nanut, Arton;Symphonic;CD;Quintessence;CDQ 2001;;S;
Tesh, John;Tour De France;1988;;;Jazz;CD;Private Music;2040-2-P;;S;
Various;Lights Out II;1988;;;Jazz;CD;Kink Fm 102;102/1988;;S;
Yokokura, Yutaka;Yutaka;1988;;;Jazz;CD;GRP;GRD-9557;;S;
Baker, Chet;The Best Of Chet Baker Sings;1989;;;Jazz;CD;Pacific Jazz;CDP 7 92932 2;Y;M;
Benoit, David;Urban Daydreams;1989;;;Jazz;Cass;GRP;GRC-9587;;S;
Benoit, David;Waiting For Spring;1989;;;Jazz;CD;GRP;GRD 9595;;S;
Bolton, Michael;Soul Provider;1989;;;Rock;CD;Columbia;CK 45012;;S;
Carlton, Larry;On Solid Ground;1989;;;Jazz;LP;MCA Records;256 310-1;;S;
Cher;Heart Of Stone;1989;;;Rock;CD;Geffen Records;424 239-2;Y;S;
Collins, Phil;...But Seriously;1989;;;Rock;CD;Atlantic;82050-2;;S;
Davis, Miles;In Person, Saturday Night At The Blackhawk, San Francisco, Volume 2;1989;;;Jazz;CD;Columbia;CK 44425;Y;S;
Davis, Miles;Miles Davis;1989;;;Jazz;CD;Philips;838 254-2;;S;
Ellis, Herb;Doggin' Around;1989;;;Jazz;CD;Concord Jazz;CCD-4372;;S;
G, Kenny;Live;1989;;;Jazz;Cass;Arista;AC-8613;;S;
Grusin, Dave;Collection;1989;;;Jazz;CD;GRP;GRD-9579;;S;
Grusin, Dave;Migration;1989;;;Jazz;CD;GRP;GRD-9592;;S;
Henley, Don;End Of The Innocence, The;1989;;;Rock;CD;Geffen Records;9 24217-2;;S;
Metheny, Pat Group;Letter From Home;1989;;;Jazz;CD;Geffen Records;M2G 24245;;S;
Rippingtons, The;Tourist In Paradise;1989;;;Jazz;CD;GRP;GRD-9588;;S;
Rippingtons, The;Kilimanjaro;1989;;;Jazz;CD;GRP;GRD-9597;;S;
Savis, Miles Quintet, The;Steamin' With The Miles Davis Quintet;1989;;;Jazz;CD;Original Jazz Classics;OJCCD-391-2;Y;S;
Various;Happy Anniversary, Charlie Brown!;1989;;;Jazz;Cass;GRP;GRC-9596;;S;
Various;Windham Hill Records Sampler '89;1989;;;Jazz;Cass;Windham Hill Records;WT-1082;;S;
Wagner, Richard;Magic Fire Music;1989;Budapest Symphony Orchestra/Sofia Radio Symphony Orcehstra/Vienna Symphony Orchestra;Lehel, Gyorgy/Kazzanjiew, Vassil/Ahronivitch, Yuri;Symphonic;CD;LaserLight Digital;15 612;Y;S;
Copland, Aaron;Appalachian Spring/Rodeo/Fanfare For The Common Man;1990;Atlanta Symphony Orchestra;Lane, Louis;Symphonic;LP;Sony Symphonic;SFK 89274;Y;S;Y
Benoit, David;Inner Motion;1990;;;Jazz;CD;GRP;GRD-9621;;S;
Benson, George;Big Boss Band;1990;;;Jazz;CD;Warner Bros. Records;W2 26295;;S;
Buffett, Jimmy;Live! Feeding Frenzy;1990;;;Rock;CD;MCA Records;MCAD-10022;Y;S;
Canadian Brass, The;The Canadian Brass;1990;The Canadian Brass;;Symphonic;CD;MMG ;ARC1-4574;;S;
Carlton, Larry;Collection;1990;;;Jazz;CD;GRP;GRD-9611;Y;S;
Collins, Phil;Serious Hits...Live!;1990;;;Rock;CD;Atlantic;A2 82157;;S;
Davis, Miles;Birth Of The Cool;1990;;;Jazz;CD;Capitol Jazz;CDP 7 92862 2;Y;S;
Davis, Miles;Plays Classic Ballads;1990;;;Jazz;CD;CBS Special Products;A 21508;;S;
Duo, Jim Hall / Ron Carter;Alone Together;1990;;;Jazz;CD;Original Jazz Classics;OJCCD-467-2;Y;S;
Flim & The BB's;New Pants;1990;;;Jazz;CD;Warner Bros. Records;9 26152-2;;S;
Grant, Tom;Edge Of The World;1990;;;Jazz;CD;Verve Forecast;843 011-2;;S;
Hornsby, Bruce And The Range;A Night On The Town;1990;;;Rock;CD;RCA;2041-2-R;;S;
James, Bob;Grand Piano Canyon;1990;;;Jazz;CD;Warner Bros. Records;W2 26256;;S;
Marsalis, Wynton;Tune In Tomorrow - The Original Soundtrack;1990;;;Jazz;CD;Columbia;CK 47044;;S;
McEntire, Reba;Rumor Has It;1990;;;Country;CD;MCA Records;MCAD-10016;;S;
Metheny, Pat;Question And Answer;1990;;;Jazz;CD;Geffen Records;M2G 24293;;S;
Rippingtons, The;Welcome To The St. James' Club;1990;;;Jazz;CD;GRP;GRD-9618;;S;
Ritenour, Lee;Stolen Moments;1990;;;Jazz;CD;GRP;GRD-9615;;S;
Sample, Joe;Ashes To Ashes;1990;;;Jazz;CD;Warner Bros. Records;W2 26318;;S;
Shadowfax;The Odd Get Even;1990;;;Jazz;CD;Private Music;2065-2-P;;S;
Simpsons, The;Simpsons Sing The Blues, The;1990;;;Jazz;CD;Geffen Records;M2G-24308;Y;S;
Spyro Gyra;Fast Forward;1990;;;Jazz;CD;GRP;GRD-9608;;S;
Styx;Edge Of The Century;1990;;;Rock;Cass;A&M Records;75021-5327-4;;S;
Tower Of Power;Back To Oakland;1990;;;Jazz;CD;Warner Bros. Records;2749-2;Y;S;
University Of Michigan Symphony Band;On Parade! World's Greatest Marches;1990;;;Jazz;CD;Quintessence;CDQ 2016;;S;
Various;The Kings Of Swing;1990;;;Jazz;CD;LaserLight Digital;15 314;Y;M;
Windham Hill Artists;A Winter's Solstice III;1990;;;Jazz;CD;Windham Hill Records;WD-1098;;S;
Yanni;Reflections Of Passion;1990;;;Jazz;CD;Private Music;2067-2-P;;S;
Balmer, Dan;Music;1991;;;Jazz;CD;Chase Music Group;CMD 8029;;S;
Benoit, David;Shadows;1991;;;Jazz;CD;GRP;GRD-9654;;S;
Bolton, Michael;Time, Love & Tenderness;1991;;;Rock;CD;Columbia;CK 46771;;S;
Fourplay;Fourplay;1991;;;Jazz;CD;Warner Bros. Records;9 26656-2;;S;
Goodman, Benny;Benny Goodman 1935 - 1936 Rare Recordings;1991;;;Jazz;CD;Laserlight Digital;15 726;Y;M;
Grusin, Dave;The Gershwin Connection;1991;;;Jazz;CD;GRP;GRD-2005;;S;
Horn, Paul;Inside The Great Pyramid;1991;;;Jazz;CD;Kuckuck;CD 060/61;Y;S;
Jackson, Joe;Laughter & Lust;1991;;;Rock;CD;Virgin;2-91628;;S;
Marx, Richard;Rush Street;1991;;;Rock;CD;Capitol Records;CDP 7 95874 2;;S;
Modern Jazz Quartet, The;Pyramid;1991;;;Jazz;CD;Atlantic;1325-2;;S;
Nirvana;Nevermind;1991;;;Rock;CD;DGC;GED 24425;;S;
Paul, Les And His Trio;Les Paul Trio;1991;;;Jazz;CD;LaserLight Digital;15 741;Y;M;
Pepper, Art;Art Pepper Meets The Rhythm Section;1991;;;Jazz;CD;Original Jazz Classics;OJCCD-338-2;Y;S;
Rich, Buddy  And His Orchestra;Rich, Buddy  Orchestra;1991;;;Jazz;CD;LaserLight Digital;15 758;Y;S;
Rippingtons, The;Curves Ahead;1991;;;Jazz;CD;GRP;GRD-9651;;S;
Sample, Joe;Collection;1991;;;Jazz;CD;GRP;GRD-9658;;S;
Siegel, Dan;Going Home;1991;;;Jazz;CD;Epic Associated;ZK 46787;;S;
Smith, Johnny;Moonlight In Vermont;1991;;;Jazz;CD;Roulette Jazz;CDP 7977472;Y;S;
Sting;The Soul Cages;1991;;;Rock;CD;A&M Records;75021 6405 2;;S;
Various;KINK Lights Out III;1991;;;Jazz;CD;Kink Fm 102;none;;S;
Various;Grieg Greatest Hits;1991;;;Symphonic;CD;RCA Victor;60832-2-RG;;S;
Basie, Count;Count Basie And His Orchestra Live;1992;;;Jazz;CD;LaserLight Digital;15 797;Y;S;
Bellson, Louis;The Louis Bellson Explosion;1992;;;Jazz;CD;Pablo Records;2310-755;Y;S;
Bolton, Michael;Timeless (The Classics);1992;;;Rock;CD;Columbia;CK 52783;;S;
Flim & The BB's;This Is A Recording;1992;;;Jazz;CD;Warner Bros. Records;9 26655-2;;S;
G, Kenny;Breathless;1992;;;Jazz;CD;Arista;07822-18646-2;;S;
Geissman, Grant;Time Will Tell;1992;;;Jazz;CD;Bluemoon;R2 79178;;S;
Grant, Tom;In My Wildest Dreams;1992;;;Jazz;CD;Verve Forecast;849 530-2;;S;
GRP All-Star Big Band;GRP All-Star Big Band;1992;;;Jazz;CD;GRP;GRD 9672;;S;
Hines, Earl;Piano Solos;1992;;;Jazz;CD;LaserLight Digital;15 790;Y;S;
James, Bob;Cool;1992;;;Jazz;CD;Warner Bros. Records;9 26939-2;;S;
James, Harry And His Orchestra;Stompin' At The Savoy;1992;;;Jazz;CD;Laserlight Digital;15 771;Y;S;
John, Elton;The One;1992;;;Rock;CD;MCA Records;MCAD-10614;;S;
Kenton, Stan  And The Innovations Orchestra;Stan Kenton & His Innovations Orchestra;1992;;;Jazz;CD;It's Music;22 714;Y;M;
Kitaro;Dream;1992;;;Jazz;CD;Geffen Records;GEFD-24477;;S;
Marsalis, Branford;I Heard You Twice The First Time;1992;;;Jazz;CD;Columbia;CK 46083;;S;
Metheny, Pat;Secret Story;1992;;;Jazz;CD;Geffen Records;GED 24468;;S;
Oregon;Out Of The Woods;1992;;;Jazz;LP;Elektra;ELK 52 101;;S;
Remler, Emily;Firefly;1992;;;Jazz;CD;Concord Jazz;CCD-4162;Y;S;
Rippingtons, The;Weekend In Monaco;1992;;;Jazz;CD;GRP;GRD 9681;;S;
Washington Jr, Grover;Next Exit;1992;;;Jazz;CD;Columbia;CK 48530;;S;
Yellowjackets;Live Wires;1992;;;Jazz;CD;GRP;GRD-9667;;S;
Adams, Pepper Quintet;10 To 4 At The 5-Spot;1993;;;Jazz;CD;Original Jazz Classics;OJCCD-031-2;Y;M;
Basie, Count Orchestra;Corner Pocket;1993;;;Jazz;CD;LaserLight Digital;15 789;Y;S;
Geissman, Grant;Rustic Technology;1993;;;Jazz;CD;Bluemoon;R2 79189;;S;
Grant, Tom;The View From Here;1993;;;Jazz;CD;PolyGram;314517657-2;;S;
Hornsby, Bruce;Harbor Lights;1993;;;Rock;CD;RCA;RCA 07863 66114-2;;S;
Joel, Billy;River Of Dreams;1993;;;Rock;CD;Columbia;CK 53003;;S;
Krupa, Gene And His Orchestra;Drum Boogie;1993;;;Jazz;CD;Columbia;CK 53425;Y;M;
Metheny, Pat Group;The Road To You (Recorded Live In Europe);1993;;;Jazz;CD;Geffen Records;GEFD 24601;;S;
Ritenour, Lee;Wes Bound;1993;;;Jazz;CD;GRP;GRD 9697;;S;
Sting;Ten Summoner's Tales;1993;;;Rock;CD;A&M Records;31454 0070 2;;S;
Sykes, Roosevelt;The Honeydripper's Duke's Mixture;1993;;;Jazz;CD;Verve Records;519 727-2;;S;
Tears For Fears;Elemental;1993;;;Rock;CD;Mercury;314 514 875-2;;S;
Various;Sampler (Volume 2), The;1993;;;Symphonic;CD;Excelsior;EXL-2-4202;;S;
Various;KINK Lights Out IV;1993;;;Jazz;CD;KINK FM 102;102/1993;;S;
Alchemy, Acoustic;Against The Grain;1994;;;Jazz;CD;GRP;GRP 97832;;S;
Brooks, Garth;The Hits;1994;;;Country;CD;Liberty;CDP-7243-8-29689-2-4;;S;
Brooks, Garth;The Garth Brooks Collection;1994;;;Country;CD;Pearl Records (8);S2-17959;;S;
Eagles;Hell Freezes Over;1994;;;Rock;CD;Geffen Records;GEFD-24725;;S;
Freeman, Russ;Sahara;1994;;;Jazz;CD;GRP;GRD-9781;Y;S;
Klugh, Earl;Move;1994;;;Jazz;CD;Warner Bros. Records;9 45596-2;;S;
Krupa, Gene;Krupa And Rich;1994;;;Jazz;CD;Verve Records;314 521 643-2;Y;M;
Metheny, Pat;Works;1994;;;Jazz;CD;ECM Records;78118-20270-2;;S;
Raitt, Bonnie;Longing In Their Hearts;1994;;;Rock;CD;Capitol Records;CDP 0777 7 81427 2 0;;S;
Reinhardt, Django;Verve Jazz Masters 38;1994;;;Jazz;CD;Verve Records;314 516 931-2;;S;
Scofield, John;I Can See Your House From Here;1994;;;Jazz;CD;Blue Note;CDP 527765;;S;
Various;The Latin Jazz Sampler;1994;;;Jazz;CD;Legacy;CSK 5675;;S;
Yanni;Live At The Acropolis;1994;;;Jazz;CD;Private Music;01005-82116-2;;S;
Yellowjackets;Run For Your Life;1994;;;Jazz;CD;GRP;GRD-9754;;S;
Baker, Chet;The Best Of Chet Baker Plays;1995;;;Jazz;CD;Pacific Jazz;CDP 7 97161 2;Y;B;
Eyre, Tommy;Celestial Harp - Christmas Themes;1995;;;Symphonic;CD;BCI Music;BCCD 250;;S;
Farlow, Tal;Tal Farlow;1995;;;Jazz;CD;Verve Records;314 527 365-2;;S;
Fogelberg, Dan/Weisberg, Tim;No Resemblance Whatsoever;1995;;;Rock;CD;Giant Records;9 24626-2;;S;
Fourplay;Elixir;1995;;;Jazz;CD;Warner Bros. Records;9 45922-2;;S;
Grant, Tom;Instinct;1995;;;Jazz;CD;Shanachie;Shanachie5015;;S;
Hahn, Jerry;Time Changes;1995;;;Jazz;CD;Enja Records;ENJ-9007 2;;S;
Hornsby, Bruce;Hot House;1995;;;Rock;CD;RCA;07863 66584 2;;S;
Jackson, Alan;The Greatest Hits Collection;1995;;;Country;CD;Arista;07822-18801-2;;S;
Jackson, Michael;HIStory - Past, Present And Future - Book I;1995;;;Rock;CD;Epic;E2K 59000;;S;
Metheny, Pat Group;We Live Here;1995;;;Jazz;CD;Geffen Records;GEFD-24729;;S;
Pepper, Art;Art 'N' Zoot;1995;;;Jazz;CD;Pablo Records;PACD-2310-957-2;;S;
Ravel, Maurice;Bolero;1995;Radio Symphony Orchestra Ljubljana;Hubad, Samal;Symphonic;CD;Symphonic Treasures;HCT-2-8825;;S;
Spyro Gyra;Love & Other Obsessions;1995;;;Jazz;Cass;GRP;GRP 98114;;S;
Upchurch, Phil;Love Is Strange;1995;;;Jazz;CD;Go Jazz;GOJ 6012 2;;S;
Urban Knights;Urban Knights;1995;;;Jazz;CD;GRP;GRD-9815;;S;
Various;Kink FM 102  Lights Out V;1995;;;Jazz;CD;Kink FM 102;5;;S;
Young, Lester;Pres - The Complete 1936-1949 Small Group Alternates Vol. 2 1944-1949;1995;;;Jazz;CD;Blue Moon;BMCD 1506;;S;
Adkins, Trace;Dreamin' Out Loud;1996;;;Country;CD;Capitol Nashville;7243-8-37222-2-8;;S;
Eps, George Van;Keepin' Time;1996;;;Jazz;CD;Concord Jazz;CCD-4713;;S;
Freeman, Russ;Brave New World;1996;;;Jazz;CD;Peak Records;GRD-9835;;S;
Metheny, Pat Group;Quartet;1996;;;Jazz;CD;Geffen Records;MVCG-213;;S;
Mingus, Charles;This Is Jazz;1996;;;Jazz;CD;Legacy;CK 64624;;S;
Redman, Joshua;Freedom In The Groove;1996;;;Jazz;CD;Warner Bros. Records;9 46330-2;;S;
Various;1996 Grammy Nominees;1996;;;Jazz;CD;Grammy Recordings;CK 67565;;S;
Brooks, Garth;Sevens;1997;;;Country;CD;Capitol Records;7243 8-56599-2-8;;S;
Davis, Miles;Sketches Of Spain;1997;;;Jazz;CD;Columbia;CK 65142;Y;S;
G, Kenny;Greatest Hits;1997;;;Jazz;CD;Arista;07822-18991-2;;S;
Grusin, Dave;Two For The Road (The Music Of Henry Mancini);1997;;;Jazz;CD;GRP;GRP 98652;;S;
Grusin, Dave;Dave Grusin Presents West Side Story;1997;;;Jazz;CD;N2K Encoded Music;N2K-10021;;S;
Krall, Diana;Love Scenes;1997;;;Jazz;CD;Impulse!;IMPD-233;Y;S;
Matsui, Keiko;Collection;1997;;;Jazz;CD;GRP;GRD-9890;;S;
Metheny, Pat Group;Imaginary Day;1997;;;Jazz;CD;Warner Bros. Records;9 46791-2;;S;
Raitt, Bonnie;Road Tested;1997;;;Rock;CD;DTS Entertainment;DTS 1010;Y;S;
Rippingtons, The;Black Diamond;1997;;;Jazz;CD;Windham Hill Jazz;01934-11271-2;;S;
Rogers, Jimmy;The Complete Chess Recordings;1997;;;Jazz;CD;Chess;CHD2-9372;;S;
Schubert, Franz;Impromptus Op. 90 & Op. 142;1997;;Uchida, Mitsuko;Symphonic;CD;Philips;456 245-2;;S;
Various;The Jazz Collection III;1997;;;Jazz;CD;50 Years Atlantic Records;PRCD-8305;;S;
Various;KINK Lights Out VI;1997;;;Jazz;CD;KINK FM 102;none;;S;
Various;Songs Without Words;1997;;;Jazz;CD;Windham Hill Records;01934-11212-2;;S;
Yanni;Tribute;1997;;;Jazz;CD;Virgin;7243 8 44981 2 2;;S;
Alden, Howard;Full Circle / Jazz/Concord;1998;;;Jazz;CD;Concord Jazz;CCD2-4788-2;Y;S;
Antoine, Marc;Madrid;1998;;;Jazz;CD;GRP;GRD-9926;;S;
Atkins, Chet;36 All-time Greatest Hits;1998;;;Jazz;CD;BMG Special Products;DRC32062;;S;
Brooks, Garth;Double Live;1998;;;Country;CD;Capitol Records;7243-4-97424-2-0;;S;
Brubeck, Dave Quartet The;So What's New?;1998;;;Jazz;CD;Telarc;CD-83434;;S;
Cher;Believe;1998;;;Rock;CD;Warner Bros. Records;9 47121-2;;S;
Dion, Céline;"My Heart Will Go On (Love Theme From ""Titanic"")";1998;;;Rock;CD;Columbia;COL 665315.2;;S;
Fourplay;4;1998;;;Jazz;CD;Warner Bros. Records;9 46921-2;;S;
Green, Grant;Standards;1998;;;Jazz;CD;Blue Note;CDP 7243 8 21284 2 7;Y;S;
Hogwood, Christopher;Baroque Blend (A Starbucks Coffee Symphonic Holiday Collection);1998;The Academy Of Ancient Music;;Symphonic;CD;L'Oiseau-Lyre;DPSM 5294;;S;
Hornsby, Bruce;Spirit Trail;1998;;;Rock;CD;RCA;07863 67468-2;;S;
Klugh, Earl;The Best Of Earl Klugh;1998;;;Jazz;CD;Warner Bros. Records;9 46981-2;;S;
Lang, Jonny;Wander This World;1998;;;Rock;CD;A&M Records;31454 0984 2;;S;
Modern Jazz Quartet, The;Concorde;1998;;;Jazz;CD;JVC;JVCXR-0203-2;Y;S;
Pass, Joe;Blues Dues - Live At Long Beach City College;1998;;;Jazz;CD;Original Jazz Classics;OJCCD-964-2;Y;S;
Schubert, Franz;Piano Sonatas D. 958 & D. 959;1998;;Uchida, Mitsuko;Symphonic;CD;Philips;456 579-2;;S;
Tesh, John;One World;1998;;;Jazz;CD;GTSP Records;314559673-2;;S;
Various;Classics For Relaxation - Volume One;1998;;;Symphonic;CD;Excelsior;EXL-2-4241;;S;
Atkins, Chet;Reflections;1999;;;Jazz;CD;Sugar Hill Records;SHCD-3896;Y;S;
Burrell, Kenny;Midnight Blue;1999;;;Jazz;CD;Blue Note;7243 4 95335 2 3;Y;S;
Eps, George Van;Mellow Guitar;1999;;;Jazz;CD;Euphoria Jazz;Euphoria 177;;S;
Farlow, Tal;The Swinging Guitar Of Tal Farlow;1999;;;Jazz;CD;Verve Records;314 559 515-2;Y;S;
Green, Grant;Idle Moments;1999;;;Jazz;CD;Blue Note;7243 4 99003 2 5;Y;S;
Hill, Faith;Breathe;1999;;;Country;CD;Warner Bros. Records;9 47373-2;;S;
Jarrett, Keith;The Melody At Night, With You;1999;;;Jazz;CD;ECM Records;ECM 1675;;S;
Krall, Diana;When I Look In Your Eyes;1999;;;Jazz;CD;Verve Records;IMPD-304;;S;
Metheny, Pat Group;Pat Metheny Group;1999;;;Jazz;CD;ECM Records;POCJ-2782;Y;S;
Mingus, Charles;Mingus Ah Um;1999;;;Jazz;CD;Columbia;CK 65512;Y;S;
Montgomery, Wes;Tequila;1999;;;Jazz;CD;Verve Records;547 769-2;Y;S;
Pizzarelli, Bucky;April Kisses;1999;;;Jazz;CD;Arbors Records;ARCD 19227;;S;
Rimes, LeAnn;LeAnn Rimes;1999;;;Country;CD;Curb Records;D2-77947;;S;
Rippingtons, The;Topaz;1999;;;Jazz;CD;Windham Hill Jazz;01934-11438-2;;S;
Robillard, Duke;Conversations In Swing Guitar;1999;;;Jazz;CD;Stony Plain Records;SPCD 1260;;S;
Savis, Miles Quintet, The;The Best Of The Miles Davis Quintet (1965-1968);1999;;;Jazz;CD;Columbia;CK 65945;;S;
Sting;Brand New Day;1999;;;Rock;CD;A&M Records;694904432;;S;
Various;Blue Break Beats Volume Four;1999;;;Jazz;CD;Blue Note;7243 4 94027 2 0;;S;
Various;Lights Out VII;1999;;;Jazz;CD;KINK fm 102;102/1999;;S;
Antoine, Marc;Universal Language;2000;;;Jazz;CD;GRP;314 543 061-2;;S;
Barrage;Barrage;2000;;;Rock;CD;Suite-102 Music;M2S2 0499;;S;
Copland, Aaron;Super Hits;2000;;;Symphonic;CD;Sony Symphonic;TV 34169;;S;
Hall, Jim;Ballad Essentials;2000;;;Jazz;CD;Concord Jazz;CCD-4904-2;;S;
Various;Atmospheres Celtic Traditions;2000;;;Symphonic;CD;St. Clair;ATM81412;;S;
Webster, Ben;Until Tonight;2000;;;Jazz;CD;Verve Records;543 249-2;;S;
Alchemy, Acoustic;AArt;2001;;;Jazz;CD;Higher Octave Music;HOMCD 11103;;S;
Davis, Miles;'Round About Midnight;2001;;;Jazz;CD;Columbia;CK 85201;Y;S;
Farlow, Tal;Tal Farlow's Finest Hour;2001;;;Jazz;CD;Verve Records;549 677-2;;S;
Magnussen, Christine Grace;On Wings Of A Dove;2001;;;Symphonic;CD;Harp Spirit;na;;S;
Sting;...All This Time;2001;;;Rock;CD;A&M Records;694931692;;S;
Various;Windham Hill 25 Years Of Piano;2001;;;Jazz;CD;Windham Hill Records;01934 11591 2;;S;
Coldplay;A Rush Of Blood To The Head;2002;;;Rock;CD;Capitol Records;CDP 7243 5 40504 2 8;;S;
Davis, Miles;Timeless;2002;;;Jazz;CD;Savoy Jazz;SVY 17116;;S;
Green, Grant;Am I Blue;2002;;;Jazz;CD;Blue Note;7243 5 35564 2 6;Y;S;
Green, Grant;Ballads;2002;;;Jazz;CD;Blue Note;7243 5 37560 2 4;;S;
Various;KINK Lights Out VIII;2002;;;Jazz;CD;102;2002;;S;
Bublé, Michael;Michael Bublé;2003;;;Jazz;CD;143 Records;48376-2;;S;
Evanescence;Fallen;2003;;;Rock;CD;Wind-Up;60150-13063-2;;S;
Hornsby, Bruce;Greatest Radio Hits;2003;;;Rock;CD;RCA;82876 55971 2;;S;
Urban Knights;Urban Knights V;2003;;;Jazz;CD;Narada Jazz;72435-80488-2-7;;S;
Benoit/Freeman Project;The Benoit / Freeman Project 2;2004;;;Jazz;CD;Peak Records;PKD-8525-2;;S;
Jones, Norah;Feels Like Home;2004;;;Jazz;CD;Blue Note;7243 5 84800 0 9;;S;
Krall, Diana;Temptation;2004;;;Jazz;CD;Verve Records;B0001995-32;;S;
Krall, Diana;The Girl In The Other Room;2004;;;Jazz;CD;Verve Records;B0003758-82;;S;
Pink Floyd;The Wall;2004;;;Rock;CD;Capitol Records;CDP 7243 8 31243 2 9;Y;S;
Coldplay;X&Y;2005;;;Rock;CD;Capitol Records;CDP 7243 4 74786 2 8;Y;S;
Metheny, Pat Group;The Way Up;2005;;;Jazz;CD;Nonesuch;79876-2;;S;
Underwood, Carrie;Some Hearts;2005;;;Country;CD;19 Recordings;82876-71197-2;;S;
Various;Kink Lights Out - Nine;2005;;;Jazz;CD;Kink FM 102;102/2005;;S;
Benson, George;Givin' It Up;2006;;;Jazz;CD;Concord Records;CCD-2316-2;;S;
Fourplay;X;2006;;;Jazz;CD;Bluebird;82876 86399-2;;S;
Jones, Norah;Not Too Late;2006;;;Jazz;CD;Blue Note;0946 3 74516 2 5;;S;
Krall, Diana;From This Moment On;2006;;;Jazz;CD;Verve Records;B0007323-02;;S;
Mehldau, Brad Trio;House On Hill;2006;;;Jazz;CD;Nonesuch;79911-2;;S;
Steely Dan;The Definitive Collection;2006;;;Rock;CD;Geffen Records;B0006752-02;;S;
Tears For Fears;Gold;2006;;;Rock;CD;Hip-O Records;B0007120-02;;S;
Various;KINK Lights Out Ten;2006;;;Jazz;CD;Kink FM 102;102/2006;;S;
Zimmer, Hans;The Da Vinci Code (Original Motion Picture Soundtrack);2006;;;Soundtrack;CD;Decca;B0006479-02;;S;
Byrd, Donald;Blackjack;2007;;;Jazz;LP;Blue Note;BST 84259;Y;S;
Mannheim Steamroller;Christmas Song;2007;;;Jazz;CD;American Gramaphone Records;AG1227-2;;S;
Coldplay;Viva La Vida Or Death And All His Friends;2008;;;Rock;CD;Capitol Records;509992 16886 0 7;;S;
Fourplay;Energy;2008;;;Jazz;CD;Heads Up International;HUCD 3146;;S;
Mehldau, Brad Trio;Live;2008;;;Jazz;CD;Nonesuch;376252-2;;S;
Meters, The;The Meters;2008;;;Jazz;LP;Josie;JOS 4010;Y;S;
Salgado, Curtis;Clean Getaway;2008;;;Jazz;CD;Shanachie;9038;;S;
